Title,Artist,Year,Position,Ave BPM,Ave Pitch STD,Ave Pitch Value,Pitch Variation,Pitch Range,Mode Polarity,Note Onset Density
California Dreamin',The Mamas & The Papas,1966,1,112.0,2.94,62.07142857142857,10,14,-1.0,1.405
96 Tears,? and the Mysterians,1966,2,124.0,1.53,58.59090909090909,6,7,1.0,1.52
What Becomes Of The Brokenhearted,Jimmy Ruffin,1966,3,97.0,2.3066666666666666,61.752808988764045,10,14,-1.0,2.513333333333333
Last Train to Clarksville,The Monkees,1966,4,99.0,2.71,62.00609756097561,13,18,1.0,4.1
Reach Out I'll Be There,Four Tops,1966,5,120.0,2.21,65.15129151291512,7,9,-1.0,1.7349999999999999
To Sir With Love,Lulu,1967,1,97.0,2.986666666666667,64.77142857142857,9,13,1.0,1.6133333333333333
The Letter,The Box Tops,1967,2,139.0,2.435,59.7734375,7,13,-1.0,2.84
Ode to Billie Joe,Bobbie Gentry,1967,3,120.0,3.9,61.4,11,19,1.0,2.14
Windy,The Association,1967,4,133.0,3.29,57.76851851851852,8,13,1.0,2.045
I'm a Believer,The Monkees,1967,5,160.0,2.64,61.091575091575095,14,19,1.0,1.9666666666666668
Hey Jude,The Beatles,1968,1,74.0,3.7866666666666666,61.53119092627599,16,25,1.0,1.3800000000000001
Love is Blue,Paul Mauriat,1968,2,104.0,2.71,70.86842105263158,24,38,1.0,1.33
Honey,Bobby Goldsboro,1968,3,93.0,1.83,52.98503740648379,9,12,1.0,1.815
(Sitting' On) The Dock of the Bay,Otis Redding,1968,4,104.0,2.86,57.40909090909091,9,15,1.0,2.07
People Got to Be Free,The Rascals,1968,5,126.0,2.855,61.689655172413794,9,14,1.0,2.4450000000000003
"Sugar, Sugar",The Archies,1969,1,122.0,2.9499999999999997,57.71841155234657,13,28,1.0,2.26
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,1969,2,118.0,2.6519999999999997,70.55113636363636,22,27,1.0,1.8679999999999999
I Can't Get Next to You,The Temptations,1969,3,109.0,5.0633333333333335,63.298816568047336,17,33,1.0,2.9
Honky Tonk Women,The Rolling Stones,1969,4,120.0,3.59,61.07692307692308,11,17,1.0,1.47
Everyday People,Sly and the Family Stone,1969,5,115.0,4.476666666666667,59.55598455598456,13,28,1.0,2.0866666666666664
Bridge Over Troubled Water,Simon and Garfunkel,1970,1,80.0,3.93,60.03431372549019,12,17,1.0,0.9099999999999999
(They Long To Be) Close To You,The Carpenters,1970,2,89.0,3.926666666666667,62.343283582089555,18,18,1.0,1.5866666666666667
American Woman,The Guess Who,1970,3,97.33333333333333,3.75,63.41509433962264,13,21,1.0,2.31
Raindrops Keep Fallin' on My Head,B.J. Thomas,1970,4,106.0,2.6849999999999996,57.59051724137931,7,11,1.0,2.015
War,Edwin Starr,1970,5,109.0,2.2399999999999998,63.22935779816514,9,21,1.0,2.02
Joy To The World,Three Dog Night,1971,1,127.0,2.47,64.57941176470588,10,14,1.0,1.8933333333333333
Maggie May,Rod Stewart,1971,2a,129.0,2.7,64.05397727272727,13,24,1.0,2.0
Reason to Believe,Rod Stewart,1971,2b,138.0,3.0549999999999997,61.61594202898551,9,14,1.0,1.74
I Feel the Earth Move,Carole King,1971,3a,120.0,3.0233333333333334,64.68769716088327,10,14,-1.0,2.06
It's Too Late,Carole King,1971,3b,104.0,2.776666666666667,62.39923954372624,7,12,-1.0,1.7533333333333332
One Bad Apple,The Osmonds,1971,4,101.0,3.325,62.626062322946176,9,17,1.0,2.79
How Can You Mend a Broken Heart,Bee Gees,1971,5,69.0,3.21,59.85507246376812,10,12,1.0,1.52
The First Time Ever I Saw Your Face,Roberta Flack,1972,1,60.0,4.55,61.714285714285715,9,14,1.0,0.71
Alone Again (Naturally),Gilbert O'Sullivan,1972,2,86.0,3.355,58.89817232375979,18,17,-1.0,2.28
American Pie,Don McLean,1972,3,138.0,3.73,58.66723549488054,13,24,-1.0,2.653333333333333
Without You,Harry Nilsson,1972,4,65.0,4.76,60.093023255813954,12,22,1.0,1.445
